"Model","RMSE_Calib","NSE_Calib","MI_Calib","RMSE_Valid","NSE_Valid","MI_Valid","Site"
"all_ws_bfs",1.36823409633763,0.613427715548905,0.242480083424631,1.55878218187711,-0.0647720408774011,0.186598640721923,"03346500"
"all_ws_bfs_attr",0.826101329867801,0.859078733152013,0.395920328017642,1.39601219494307,0.145987559104465,0.297397384069273,"03346500"
"local",0.950931139586578,0.813272606681955,0.363693593111219,1.55687206539838,-0.0621641171764442,0.231237386534377,"03346500"
"local_bfs",0.779942294987521,0.874386927022848,0.451096326275408,1.37076325085984,0.17660034869484,0.3166591512067,"03346500"
"all_ws",0.927873805231478,0.639942894779088,0.314217012459181,1.07675246837192,0.0631456154846798,0.225221732592404,"04072150"
"all_ws_attr",0.391895836754741,0.93577045336902,0.552529136622171,0.781349815544202,0.506676993575523,0.40270480784947,"04072150"
"all_ws_bfs",0.894041481053382,0.665721153020834,0.362846643241807,1.09448388217561,0.0320362747228441,0.28762338723547,"04072150"
"all_ws_bfs_attr",0.385725715609847,0.937777029014842,0.518456840711784,0.751953763747542,0.543098465650065,0.396482497299563,"04072150"
"local",0.592442791193053,0.853213405236247,0.450233914489028,1.17483329417417,-0.115302904025531,0.427993073675823,"04072150"
"local_bfs",0.544916562089414,0.875819451784981,0.461092362596246,1.07403154632992,0.0678744404641252,0.436582535811506,"04072150"
"all_ws",0.471556090555974,0.320177540826789,0.197715314885888,0.66253284301948,-0.932329688912368,0.224585022379982,"04081000"
"all_ws_attr",0.16956058107369,0.912102082949161,0.513758748882294,0.184196634657111,0.850641554437239,0.493438674976905,"04081000"
"all_ws_bfs",0.298567573713315,0.727470155182572,0.346044759366065,0.701351654204493,-1.16539960870752,0.161491260444733,"04081000"
"all_ws_bfs_attr",0.144458885962464,0.93620049431355,0.552051067156437,0.166215426035823,0.878378863652305,0.476065932599654,"04081000"
"local",0.154662104244127,0.926869823693032,0.521768528294382,0.190825092123126,0.839698581991831,0.424648121598837,"04081000"
"local_bfs",0.153763987272339,0.927716686003185,0.539666534023826,0.202293267143923,0.819852076827839,0.433228437955889,"04081000"
"all_ws",1.42508146527374,0.740278728301761,0.328427007052881,1.87226434033137,-0.340676817142516,0.315684934511183,"05412500"
"all_ws_attr",0.874619971171395,0.902171157036317,0.501308146040837,2.87667827447777,-2.16499009475056,0.252864463776628,"05412500"
"all_ws_bfs",1.24956764407183,0.800313971380605,0.371853957967588,1.51215004691359,0.12546027252502,0.250385498556747,"05412500"
"all_ws_bfs_attr",0.831563116666805,0.911566141574091,0.539801735297811,2.74449631625292,-1.88081302993223,0.206607571567782,"05412500"
"local",1.00860863383212,0.869901137224261,0.487884624056181,2.71824018324093,-1.8259561902057,0.247538093875072,"05412500"
"local_bfs",1.01725492034069,0.867661034411816,0.461168745465344,2.83028849949161,-2.06373488483273,0.253158005977791,"05412500"
"all_ws",1.46133182955402,0.627721947089808,0.29422494908979,1.66105963127332,0.484260916162719,0.323642577215589,"05418400"
