"Site","RMSE_Calib","RMSE_Valid","NSE_Calib","NSE_Valid","MI_Calib","MI_Valid","multi_watershed"
"05455100",1.77992132055862,1.40251192662409,0.792389063258634,0.669117014019093,0.458011108676206,0.496756402210978,"multi-watershed bfs"
"05457000",1.70066018188379,1.66491090163837,0.420093794295379,0.199540145585703,0.232230958980715,0.349115369688293,"multi-watershed bfs"
"05465500",1.34995160545921,1.92557485840173,0.781991219363388,0.18756040405922,0.425067682546029,0.36147426215906,"multi-watershed bfs"
"05481000",3.34602834498227,3.82564567152751,0.805942764530268,0.442135175712033,0.420316489062781,0.547246421949946,"multi-watershed bfs"
"05482000",1.93347543681986,4.99412305677395,0.777836301674568,-2.15514475823668,0.335891530911454,0.254233327855923,"multi-watershed bfs"
"05482300",2.60205513353748,3.00584795319467,0.747153384338869,-0.436419129036388,0.329882141463433,0.25644935841057,"multi-watershed bfs"
"05482500",2.89883230970086,4.85381801591953,0.793937140312129,-0.920608861964935,0.388677809829355,0.373956818398207,"multi-watershed bfs"
"05484000",1.39727794800684,1.68727279829007,0.708138956409794,0.470162042811781,0.324240998018737,0.486805956263145,"multi-watershed bfs"
"05484500",1.94473031152738,2.95283418061041,0.822256893422971,0.0362351297713367,0.392919452582557,0.3780840598003,"multi-watershed bfs"
"05515500",0.299822058158914,0.269182158810192,0.320879069962429,0.0119830205877348,0.214765560937061,0.21633580496456,"multi-watershed bfs"
"05517500",0.580584090262698,0.557195393693072,0.48976105910397,0.513841074151629,0.313678001002677,0.379389269094447,"multi-watershed bfs"
"05518000",0.512843112531636,0.501427163377119,0.509602243198765,0.435884424840589,0.353497330738095,0.384983410319816,"multi-watershed bfs"
"05524500",1.33201209806842,1.37811282405535,0.683042115028555,0.685307924298348,0.32132327129164,0.385244989929555,"multi-watershed bfs"
"05537980",1.03835725872056,1.75608802129899,0.28446975016693,-0.914218976479628,0.162754658337431,0.16396693212778,"multi-watershed bfs"
"05595000",0.670669516608393,0.627664987827567,0.372722552126687,-0.096142653985567,0.236066963796667,0.278327568959434,"multi-watershed bfs"
"06481000",0.708223759833979,0.765594793229848,0.526365925677655,0.246817556686111,0.304413812795879,0.349534161285654,"multi-watershed bfs"
"06808500",0.786426181430731,1.78001488143615,0.710596076863476,0.1397899783699,0.350951261328577,0.4513328935382,"multi-watershed bfs"
"06817000",1.26591817968688,1.32643621447929,0.780968788452602,-0.0233163963291523,0.387986996973079,0.301959306885539,"multi-watershed bfs"
"01408500",0.0655945224607435,0.0727619128333954,0.874862923935603,0.883230924423557,0.468640073479419,0.500835274531025,"multi-watershed attr"
"01463500",0.0827332162100498,0.124105606493502,0.759497798979908,0.529117800944429,0.351564113277316,0.371198430275498,"multi-watershed attr"
"01646500",0.148993036061398,0.212164612070785,0.8442063023212,0.7139636765321,0.414322493968017,0.364087485596675,"multi-watershed attr"
"03339000",1.06797194909466,1.39974564898456,0.817386863389094,0.735715923024352,0.467007634904539,0.370310142784163,"multi-watershed attr"
"03346500",0.877359003221459,1.00862136436617,0.841048520983298,0.554197905472352,0.486784217631232,0.412222506497836,"multi-watershed attr"
